"","Student_id","Responce_Type","Region","Age","Gender","Race","Martial_status","Vape","Cigarette","Alcohol"
"14",30796,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"15",61029,"(0) PAPER:(0)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(1) YES: (1)","(2) YES:(2)"
"16",52174,"(0) PAPER:(0)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"17",51882,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(1) MALE:(1)",NA,"(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"18",42424,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)",NA,"(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"19",20016,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"20",31092,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(1) BLACK:(1)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"21",51728,"(0) PAPER:(0)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"22",41853,"(1) TABLET:(1)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"23",40910,"(1) TABLET:(1)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"24",31821,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"25",60857,"(1) TABLET:(1)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(1) MALE:(1)","(1) BLACK:(1)","(1) MARRIED:(1)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"26",60839,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"27",60185,"(1) TABLET:(1)","(4) WEST:(4)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"28",60843,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"29",20762,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"30",50724,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"31",31218,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"32",31272,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)",NA,"(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"33",41824,"(0) PAPER:(0)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(1) BLACK:(1)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"34",42570,"(0) PAPER:(0)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(1) BLACK:(1)","(1) MARRIED:(1)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"35",20709,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(1) MARRIED:(1)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"36",51997,"(0) PAPER:(0)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"37",41664,"(1) TABLET:(1)","(1) NORTHEAST:(1)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"38",31387,"(0) PAPER:(0)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)",NA,"(2) WHITE:(2)","(2) ENGAGED:(2)",NA,"(0) NO: (0)","(1) NO:(1)"
"39",21796,"(0) PAPER:(0)","(2) MIDWEST:(2)",NA,NA,NA,NA,NA,NA,NA
"40",62463,"(0) PAPER:(0)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(1) YES: (1)","(2) YES:(2)"
"41",62226,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(1) BLACK:(1)","(1) MARRIED:(1)",NA,"(0) NO: (0)","(1) NO:(1)"
"42",42207,"(0) PAPER:(0)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(1) MALE:(1)",NA,"(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"43",31486,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(1) YES: (1)","(2) YES:(2)"
"44",10825,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)",NA
"45",42195,"(0) PAPER:(0)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(1) MALE:(1)",NA,"(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"46",21924,"(0) PAPER:(0)","(4) WEST:(4)","(1) UNDER 18:(1)","(1) MALE:(1)",NA,"(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"47",21702,"(1) TABLET:(1)","(1) NORTHEAST:(1)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"48",22122,"(1) TABLET:(1)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"49",12430,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(3) HISPANIC:(3)","(1) MARRIED:(1)","(0) NO:(0)","(0) NO: (0)",NA
"50",60996,"(0) PAPER:(0)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(1) MARRIED:(1)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"51",20921,"(0) PAPER:(0)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(2) FEMALE:(2)",NA,"(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"52",61910,"(0) PAPER:(0)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(3) HISPANIC:(3)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"53",21113,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)",NA
"54",11787,"(1) TABLET:(1)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(1) YES: (1)",NA
"55",10348,"(1) TABLET:(1)","(4) WEST:(4)","(1) UNDER 18:(1)","(1) MALE:(1)","(3) HISPANIC:(3)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)",NA
"56",42234,"(0) PAPER:(0)","(1) NORTHEAST:(1)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"57",51906,"(0) PAPER:(0)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)",NA,"(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"58",61035,"(0) PAPER:(0)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(1) NO:(1)"
"59",21031,"(0) PAPER:(0)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(2) FEMALE:(2)",NA,"(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"60",41280,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(1) YES: (1)","(2) YES:(2)"
"61",51815,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(1) YES: (1)","(2) YES:(2)"
"62",31676,"(1) TABLET:(1)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(1) BLACK:(1)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"63",21943,"(0) PAPER:(0)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(3) HISPANIC:(3)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"64",31521,"(1) TABLET:(1)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)",NA,"(1) YES: (1)","(1) NO:(1)"
"65",10508,"(1) TABLET:(1)","(1) NORTHEAST:(1)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)",NA
"66",60390,"(0) PAPER:(0)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"67",20935,"(0) PAPER:(0)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"68",60504,"(0) PAPER:(0)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(1) BLACK:(1)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"69",30776,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)",NA,"(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(1) YES: (1)","(2) YES:(2)"
"70",62249,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"71",51918,"(0) PAPER:(0)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"72",30249,"(0) PAPER:(0)","(4) WEST:(4)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"73",41230,"(0) PAPER:(0)","(1) NORTHEAST:(1)",NA,NA,NA,NA,NA,NA,NA
"74",62082,"(0) PAPER:(0)","(1) NORTHEAST:(1)",NA,NA,NA,NA,NA,"(0) NO: (0)","(1) NO:(1)"
"75",50765,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(1) YES: (1)","(2) YES:(2)"
"76",40010,"(0) PAPER:(0)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(1) BLACK:(1)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"77",50943,"(0) PAPER:(0)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(1) BLACK:(1)",NA,NA,"(0) NO: (0)","(1) NO:(1)"
"78",10673,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)",NA
"79",52345,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"80",21086,"(0) PAPER:(0)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"81",31916,"(1) TABLET:(1)","(4) WEST:(4)","(1) UNDER 18:(1)","(1) MALE:(1)","(3) HISPANIC:(3)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"82",62356,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(1) MARRIED:(1)",NA,"(1) YES: (1)","(2) YES:(2)"
"83",51833,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(1) YES: (1)","(2) YES:(2)"
"84",51233,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(3) SEP/DIV:(3)",NA,"(0) NO: (0)","(2) YES:(2)"
"85",62448,"(0) PAPER:(0)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"86",20823,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"87",52582,"(1) TABLET:(1)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"88",21845,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(1) YES: (1)","(2) YES:(2)"
"89",51160,"(0) PAPER:(0)","(1) NORTHEAST:(1)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"90",21106,"(1) TABLET:(1)","(3) SOUTH:(3)",NA,NA,NA,NA,NA,NA,NA
"91",51227,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(1) MALE:(1)","(1) BLACK:(1)","(1) MARRIED:(1)",NA,"(1) YES: (1)","(2) YES:(2)"
"92",61109,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(1) BLACK:(1)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"93",31820,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"94",11803,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)",NA
"95",42208,"(0) PAPER:(0)","(1) NORTHEAST:(1)",NA,"(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(1) YES: (1)","(2) YES:(2)"
"96",40846,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"97",30664,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)",NA,"(3) HISPANIC:(3)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"98",50172,"(1) TABLET:(1)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"99",41932,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(1) YES: (1)","(2) YES:(2)"
"100",41827,"(0) PAPER:(0)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(1) BLACK:(1)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"101",21211,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"102",41851,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"103",42164,"(1) TABLET:(1)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(1) YES: (1)",NA
"104",12005,"(0) PAPER:(0)","(1) NORTHEAST:(1)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)",NA
"105",52408,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"106",51229,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(1) YES: (1)","(2) YES:(2)"
"107",50887,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(1) YES: (1)","(2) YES:(2)"
"108",61336,"(0) PAPER:(0)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"109",61064,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"110",30355,"(0) PAPER:(0)","(4) WEST:(4)",NA,NA,NA,NA,NA,NA,NA
"111",41834,"(0) PAPER:(0)","(2) MIDWEST:(2)",NA,NA,NA,NA,NA,NA,NA
"112",21343,"(0) PAPER:(0)","(2) MIDWEST:(2)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(2) YES:(2)"
"113",30653,"(0) PAPER:(0)","(3) SOUTH:(3)",NA,NA,NA,"(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"114",62601,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"115",52421,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"116",10609,"(0) PAPER:(0)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(3) SEP/DIV:(3)","(0) NO:(0)","(0) NO: (0)",NA
"117",60508,"(0) PAPER:(0)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)",NA
"118",62411,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(1) MALE:(1)",NA,"(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
"119",42420,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(2) FEMALE:(2)",NA,"(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"120",30484,"(0) PAPER:(0)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(1) MALE:(1)",NA,"(2) ENGAGED:(2)",NA,"(0) NO: (0)","(1) NO:(1)"
"121",51487,"(1) TABLET:(1)","(2) MIDWEST:(2)","(2) 18 OR OLDER:(2)","(1) MALE:(1)","(2) WHITE:(2)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(1) NO:(1)"
"122",10577,"(1) TABLET:(1)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)",NA
"123",21071,"(0) PAPER:(0)","(3) SOUTH:(3)","(2) 18 OR OLDER:(2)",NA,"(2) WHITE:(2)","(4) SINGLE:(4)","(1) YES:(1)","(1) YES: (1)","(2) YES:(2)"
"124",20493,"(0) PAPER:(0)","(4) WEST:(4)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)","(1) YES:(1)","(0) NO: (0)","(1) NO:(1)"
"125",52331,"(1) TABLET:(1)","(3) SOUTH:(3)","(1) UNDER 18:(1)","(1) MALE:(1)","(3) HISPANIC:(3)","(4) SINGLE:(4)",NA,"(0) NO: (0)","(2) YES:(2)"
"126",41976,"(1) TABLET:(1)","(4) WEST:(4)","(2) 18 OR OLDER:(2)","(2) FEMALE:(2)","(3) HISPANIC:(3)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(2) YES:(2)"
"127",22104,"(0) PAPER:(0)","(1) NORTHEAST:(1)","(1) UNDER 18:(1)","(2) FEMALE:(2)","(1) BLACK:(1)","(4) SINGLE:(4)","(0) NO:(0)","(0) NO: (0)","(1) NO:(1)"
